i,e,eta,J,|k|,|u|,Esum
8799,-0.00021192,-0.00021192,1.07368e+09,0.000536264,0.000160939,1.07368e+09
8800,-6.83596e-05,-6.83596e-05,1.07368e+09,0.000509393,0.000165522,1.07368e+09
8801,-0.000202803,-0.000202803,1.07368e+09,0.000503899,0.000169939,1.07368e+09
8802,-9.80072e-05,-9.80072e-05,1.07368e+09,0.000496271,0.000174268,1.07368e+09
8803,-0.000152703,-0.000152703,1.07368e+09,0.000515594,0.000178475,1.07368e+09
8804,-0.000106753,-0.000106753,1.07368e+09,0.000511202,0.000182587,1.07368e+09
8805,-0.000115056,-0.000115056,1.07368e+09,0.000511511,0.000186572,1.07368e+09
8806,-0.000116605,-0.000116605,1.07368e+09,0.000498786,0.000190641,1.07368e+09
8807,-0.000128883,-0.000128883,1.07368e+09,0.000481082,0.000194894,1.07368e+09
8808,-0.000163964,-0.000163964,1.07368e+09,0.000466467,0.000199346,1.07368e+09
8809,-6.56034e-05,-6.56034e-05,1.07368e+09,0.00044021,0.000203508,1.07368e+09
8810,-0.000206251,-0.000206251,1.07368e+09,0.00043251,0.00020738,1.07368e+09
8811,2.13672e-06,2.13672e-06,1.07368e+09,0.000407953,0.000210958,1.07368e+09
8812,-0.000205755,-0.000205755,1.07368e+09,0.000436511,0.000214455,1.07368e+09
8813,-2.87325e-05,-2.87325e-05,1.07368e+09,0.000437705,0.000218122,1.07368e+09
8814,-8.72995e-05,-8.72995e-05,1.07368e+09,0.000452432,0.0002216,1.07368e+09
8815,-0.000132023,-0.000132023,1.07368e+09,0.000448088,0.000224955,1.07368e+09
8816,1.70132e-05,1.70132e-05,1.07368e+09,0.000422549,0.000228003,1.07368e+09
8817,-0.000246432,-0.000246432,1.07368e+09,0.00042456,0.000231249,1.07368e+09
8818,7.78483e-05,7.78483e-05,1.07368e+09,0.000400792,0.00023443,1.07368e+09
8819,-0.000215482,-0.000215482,1.07368e+09,0.000435097,0.000237343,1.07368e+09
8820,3.51246e-05,3.51246e-05,1.07368e+09,0.000420982,0.000240096,1.07368e+09
8821,-0.000126387,-0.000126387,1.07368e+09,0.000449042,0.000242734,1.07368e+09
8822,-3.50515e-05,-3.50515e-05,1.07368e+09,0.000443246,0.00024541,1.07368e+09
8823,-3.27894e-05,-3.27894e-05,1.07368e+09,0.000447819,0.000247861,1.07368e+09
8824,-0.000115326,-0.000115326,1.07368e+09,0.000446847,0.000250343,1.07368e+09
8825,2.68214e-05,2.68214e-05,1.07368e+09,0.000431799,0.000252599,1.07368e+09
8826,-0.00017865,-0.00017865,1.07368e+09,0.00043748,0.000254813,1.07368e+09
8827,8.05263e-05,8.05263e-05,1.07368e+09,0.000422719,0.000256916,1.07368e+09
8828,-0.000153741,-0.000153741,1.07368e+09,0.000447275,0.000258885,1.07368e+09
8829,9.13776e-05,9.13776e-05,1.07368e+09,0.000447461,0.000260639,1.07368e+09
8830,-0.000141117,-0.000141117,1.07368e+09,0.000478417,0.000262274,1.07368e+09
8831,5.78721e-05,5.78721e-05,1.07368e+09,0.000493231,0.000264029,1.07368e+09
8832,-6.6987e-05,-6.6987e-05,1.07368e+09,0.000509686,0.000265615,1.07368e+09
8833,-1.94727e-05,-1.94727e-05,1.07368e+09,0.000522162,0.000266991,1.07368e+09
8834,-3.99283e-06,-3.99283e-06,1.07368e+09,0.000508392,0.000268137,1.07368e+09
8835,-8.40451e-05,-8.40451e-05,1.07368e+09,0.000496702,0.000269336,1.07368e+09
8836,9.39132e-05,9.39132e-05,1.07368e+09,0.000455666,0.000270336,1.07368e+09
8837,-0.000164998,-0.000164998,1.07368e+09,0.000454244,0.00027138,1.07368e+09
8838,0.000153515,0.000153515,1.07368e+09,0.000455084,0.000272327,1.07368e+09
8839,-0.000164973,-0.000164973,1.07368e+09,0.000485187,0.000272975,1.07368e+09
8840,7.48395e-05,7.48395e-05,1.07368e+09,0.000504648,0.000273615,1.07368e+09
8841,-7.10022e-05,-7.10022e-05,1.07368e+09,0.000515996,0.000274111,1.07368e+09
8842,7.75088e-06,7.75088e-06,1.07368e+09,0.000518821,0.000274392,1.07368e+09
8843,1.17179e-05,1.17179e-05,1.07368e+09,0.000504874,0.000274348,1.07368e+09
8844,-4.95962e-05,-4.95962e-05,1.07368e+09,0.000495557,0.000274339,1.07368e+09
8845,9.77046e-05,9.77046e-05,1.07368e+09,0.000476747,0.00027426,1.07368e+09
8846,-0.000115819,-0.000115819,1.07368e+09,0.000473167,0.000274044,1.07368e+09
8847,0.000103689,0.000103689,1.07368e+09,0.000473475,0.000273658,1.07368e+09
8848,-0.000117903,-0.000117903,1.07368e+09,0.000484227,0.00027312,1.07368e+09
8849,8.88185e-05,8.88185e-05,1.07368e+09,0.000497263,0.000272421,1.07368e+09
